cell,stimul,frame,time,mask,int,delta
cell11_01,20,21,1.0,cell,327.505,-0.08895932926176227
cell11_01,20,21,1.0,up,205.287,0.17216366108221584
cell11_01,20,21,1.0,down,360.854,-0.12493725371324647
cell11_01,20,22,2.0,cell,314.057,-0.12636845260365873
cell11_01,20,22,2.0,up,205.205,0.17169545111174164
cell11_01,20,22,2.0,down,343.296,-0.16751500454683238
cell11_01,20,23,3.0,cell,310.201,-0.13709492342507104
cell11_01,20,23,3.0,up,211.539,0.20786181639203083
cell11_01,20,23,3.0,down,338.698,-0.17866505001515615
cell11_01,20,24,4.0,cell,311.857,-0.1324883270349624
cell11_01,20,24,4.0,up,210.244,0.20046752478515142
cell11_01,20,24,4.0,down,343.061,-0.16808487420430437
cell11_01,20,25,5.0,cell,307.576,-0.14439704632605843
cell11_01,20,25,5.0,up,200.105,0.14257507489932036
cell11_01,20,25,5.0,down,340.637,-0.17396301909669598
cell11_01,20,26,6.0,cell,312.115,-0.13177063266983685
cell11_01,20,26,6.0,up,178.694,0.020320883706349928
cell11_01,20,26,6.0,down,349.066,-0.15352288572294642
cell11_01,20,27,7.0,cell,312.526,-0.1306273288556251
cell11_01,20,27,7.0,up,197.756,0.12916257220854058
cell11_01,20,27,7.0,down,348.392,-0.15515732040012126
cell11_01,20,28,8.0,cell,310.899,-0.13515325417368473
cell11_01,20,28,8.0,up,170.671,-0.025489464990170616
cell11_01,20,28,8.0,down,350.568,-0.1498805698696575
cell11_01,20,29,9.0,cell,315.561,-0.1221846839015312
cell11_01,20,29,9.0,up,183.368,0.04700885202338064
cell11_01,20,29,9.0,down,354.3,-0.14083055471354952
cell11_01,20,30,10.0,cell,317.39,-0.11709684284023368
cell11_01,20,30,10.0,up,180.961,0.033265176426655704
cell11_01,20,30,10.0,down,357.567,-0.13290815398605638
cell11_01,20,31,11.0,cell,321.135,-0.10667914750149167
cell11_01,20,31,11.0,up,185.872,0.061306385755910665
cell11_01,20,31,11.0,down,363.244,-0.11914155804789324
cell11_01,20,32,12.0,cell,322.567,-0.10269566559893394
cell11_01,20,32,12.0,up,191.26,0.09207120674268017
cell11_01,20,32,12.0,down,363.902,-0.11754592300697184
cell11_01,20,33,13.0,cell,322.773,-0.10212262281127545
cell11_01,20,33,13.0,up,176.047,0.00520683746433453
cell11_01,20,33,13.0,down,365.636,-0.11334101242800843
cell11_01,20,34,14.0,cell,321.603,-0.10537728330428701
cell11_01,20,34,14.0,up,177.585,0.013988629349570618
cell11_01,20,34,14.0,down,363.99,-0.11733252500757803
cell11_01,20,35,15.0,cell,319.187,-0.11209801813430054
cell11_01,20,35,15.0,up,174.159,-0.005573411611950036
cell11_01,20,35,15.0,down,362.376,-0.12124643831464085
cell11_01,20,36,16.0,cell,323.642,-0.09970527241091055
cell11_01,20,36,16.0,up,175.612,0.002723040669745654
cell11_01,20,36,16.0,down,368.21,-0.10709912094574119
cell11_01,20,37,17.0,cell,323.584,-0.09986661455500855
cell11_01,20,37,17.0,up,160.36,-0.08436401383845961
cell11_01,20,37,17.0,down,369.356,-0.10432009699909064
cell11_01,20,38,18.0,cell,324.416,-0.09755218931553371
cell11_01,20,38,18.0,up,167.279,-0.04485737011027501
cell11_01,20,38,18.0,down,369.108,-0.10492149136101848
cell11_01,20,39,19.0,cell,323.157,-0.10105442654690255
cell11_01,20,39,19.0,up,158.419,-0.09544688643224579
cell11_01,20,39,19.0,down,369.404,-0.10420369809033041
cell11_01,20,40,20.0,cell,326.119,-0.09281485015348351
cell11_01,20,40,20.0,up,154.81,-0.11605383501080034
cell11_01,20,40,20.0,down,374.066,-0.0928984540769931
cell11_01,20,41,21.0,cell,326.826,-0.09084814505215093
cell11_01,20,41,21.0,up,174.376,-0.0043343681534998854
cell11_01,20,41,21.0,down,372.32,-0.09713246438314642
cell11_01,20,42,22.0,cell,325.779,-0.09376064892923054
cell11_01,20,42,22.0,up,170.744,-0.02507264391889474
cell11_01,20,42,22.0,down,370.802,-0.10081357987268864
cell11_01,20,43,23.0,cell,327.146,-0.08995798149850677
cell11_01,20,43,23.0,up,153.225,-0.12510399114740578
cell11_01,20,43,23.0,down,375.408,-0.08964413458623821
cell11_01,20,44,24.0,cell,325.284,-0.09513762067627389
cell11_01,20,44,24.0,up,157.202,-0.10239580757940597
cell11_01,20,44,24.0,down,373.679,-0.09383692027887244
cell11_01,20,45,25.0,cell,328.146,-0.08717622039336871
cell11_01,20,45,25.0,up,161.554,-0.0775464198781399
cell11_01,20,45,25.0,down,375.684,-0.08897484086086686
cell11_01,20,46,26.0,cell,324.74,-0.09665089871746894
cell11_01,20,46,26.0,up,158.07,-0.09743963374560569
cell11_01,20,46,26.0,down,372.69,-0.0962352227947863
cell11_01,20,47,27.0,cell,326.519,-0.09170214571142836
cell11_01,20,47,27.0,up,157.651,-0.0998320724971751
cell11_01,20,47,27.0,down,373.578,-0.0940818429827221
cell11_01,20,48,28.0,cell,324.939,-0.09609732825754644
cell11_01,20,48,28.0,up,158.992,-0.09217512651661507
cell11_01,20,48,28.0,down,373.03,-0.0954107305244014
cell11_01,20,49,29.0,cell,324.521,-0.09726010439949416
cell11_01,20,49,29.0,up,153.597,-0.12297991664720556
cell11_01,20,49,29.0,down,372.836,-0.0958811761139739
cell11_01,20,50,30.0,cell,326.057,-0.0929873193420021
cell11_01,20,50,30.0,up,151.872,-0.13282945566023033
cell11_01,20,50,30.0,down,375.842,-0.08859169445286454
cell11_01,20,51,31.0,cell,327.546,-0.08884527705645161
cell11_01,20,51,31.0,up,167.031,-0.046273419777075046
cell11_01,20,51,31.0,down,374.471,-0.09191633828432857
cell11_01,20,52,32.0,cell,329.427,-0.08361278441768685
cell11_01,20,52,32.0,up,151.453,-0.1352218944117999
cell11_01,20,52,32.0,down,376.874,-0.0860891179145195
cell11_01,20,53,33.0,cell,328.65,-0.08577421279637924
cell11_01,20,53,33.0,up,146.295,-0.16467344353016633
cell11_01,20,53,33.0,down,378.725,-0.08160048499545311
cell11_01,20,54,34.0,cell,325.759,-0.09381628415133325
cell11_01,20,54,34.0,up,151.725,-0.13366880768047082
cell11_01,20,54,34.0,down,374.01,-0.09303425280387999
cell11_01,20,55,35.0,cell,327.351,-0.08938772047195351
cell11_01,20,55,35.0,up,142.752,-0.18490354018126584
cell11_01,20,55,35.0,down,377.776,-0.08390178842073354
cell11_01,20,56,36.0,cell,327.338,-0.08942388336632025
cell11_01,20,56,36.0,up,158.0,-0.09783932518381536
cell11_01,20,56,36.0,down,374.694,-0.09137556835404664
cell11_01,20,57,37.0,cell,327.485,-0.08901496448386498
cell11_01,20,57,37.0,up,165.295,-0.05618576744467576
cell11_01,20,57,37.0,down,374.048,-0.09294210366777811
cell11_01,20,58,38.0,cell,327.711,-0.08838628647410378
cell11_01,20,58,38.0,up,157.88,-0.09852451050646058
cell11_01,20,58,38.0,down,376.171,-0.08779387693240377
cell11_01,20,59,39.0,cell,326.881,-0.09069514819136847
cell11_01,20,59,39.0,up,151.298,-0.13610692545354997
cell11_01,20,59,39.0,down,375.79,-0.08871779327068804
cell11_01,20,60,40.0,cell,328.59,-0.08594111846268754
cell11_01,20,60,40.0,up,142.953,-0.18375585476583514
cell11_01,20,60,40.0,down,379.51,-0.07969687784177025
cell11_01,20,61,41.0,cell,329.82,-0.08251955230336767
cell11_01,20,61,41.0,up,157.806,-0.09894704145542503
cell11_01,20,61,41.0,down,378.615,-0.08186723249469534
cell11_01,20,62,42.0,cell,330.167,-0.08155428119988482
cell11_01,20,62,42.0,up,155.302,-0.11324457518795505
cell11_01,20,62,42.0,down,379.838,-0.07890148529857527
cell11_01,20,63,43.0,cell,328.249,-0.08688969899953947
cell11_01,20,63,43.0,up,164.395,-0.06132465736451466
cell11_01,20,63,43.0,down,374.552,-0.09171991512579565
cell11_01,20,64,44.0,cell,327.839,-0.08803022105264614
cell11_01,20,64,44.0,up,152.977,-0.12652004081420581
cell11_01,20,64,44.0,down,376.76,-0.08636556532282512
cell11_01,20,65,45.0,cell,328.159,-0.08714005749900199
cell11_01,20,65,45.0,up,141.647,-0.19121295502729052
cell11_01,20,65,45.0,down,378.59,-0.08192785692634137
cell11_01,20,66,46.0,cell,328.883,-0.08512606245888206
cell11_01,20,66,46.0,up,157.535,-0.10049441830906554
cell11_01,20,66,46.0,down,376.847,-0.08615459230069723
cell11_01,20,67,47.0,cell,329.762,-0.08268089444746567
cell11_01,20,67,47.0,up,153.089,-0.12588053451307032
cell11_01,20,67,47.0,down,379.176,-0.08050682024856019
cell11_01,20,68,48.0,cell,326.899,-0.0906450764914759
cell11_01,20,68,48.0,up,141.702,-0.19089891175441143
cell11_01,20,68,48.0,down,376.434,-0.08715610791148827
cell11_01,20,69,49.0,cell,330.064,-0.08184080259371392
cell11_01,20,69,49.0,up,155.736,-0.11076648827105491
cell11_01,20,69,49.0,down,379.596,-0.07948832979690815
cell11_01,20,70,50.0,cell,325.814,-0.09366328729055064
cell11_01,20,70,50.0,up,158.283,-0.09622342979791049
cell11_01,20,70,50.0,down,372.253,-0.0972949378599576
cell11_01,20,71,51.0,cell,329.375,-0.08375743599515409
cell11_01,20,71,51.0,up,145.488,-0.16928131482495523
cell11_01,20,71,51.0,down,379.478,-0.07977447711427703
cell11_01,20,72,52.0,cell,328.559,-0.08602735305694667
cell11_01,20,72,52.0,up,158.236,-0.09649179404927985
cell11_01,20,72,52.0,down,376.366,-0.08732100636556536
cell11_01,20,73,53.0,cell,327.371,-0.0893320852498508
cell11_01,20,73,53.0,up,154.779,-0.11623084121915038
cell11_01,20,73,53.0,down,376.156,-0.08783025159139132
cell11_01,20,74,54.0,cell,324.08,-0.09848686104686012
cell11_01,20,74,54.0,up,146.36,-0.1643023014804
cell11_01,20,74,54.0,down,373.468,-0.09434859048196419
cell11_01,20,75,55.0,cell,324.637,-0.09693742011129818
cell11_01,20,75,55.0,up,136.69,-0.2195168187302261
cell11_01,20,75,55.0,down,374.86,-0.09097302212791752
cell11_01,20,76,56.0,cell,327.676,-0.08848364811278368
cell11_01,20,76,56.0,up,148.674,-0.15108964450872506
cell11_01,20,76,56.0,down,377.778,-0.08389693846620183
cell11_01,20,77,57.0,cell,328.547,-0.08606073419020834
cell11_01,20,77,57.0,up,145.826,-0.1673513761661713
cell11_01,20,77,57.0,down,376.86,-0.08612306759624125
cell11_01,20,78,58.0,cell,327.404,-0.0892402871333812
cell11_01,20,78,58.0,up,151.419,-0.135416030253216
cell11_01,20,78,58.0,down,376.27,-0.08755380418308582
cell11_01,20,79,59.0,cell,327.728,-0.08833899653531643
cell11_01,20,79,59.0,up,143.163,-0.182556780451206
cell11_01,20,79,59.0,down,375.166,-0.09023097908457109
cell11_01,20,80,60.0,cell,326.436,-0.09193303188315488
cell11_01,20,80,60.0,up,143.415,-0.1811178912736512
cell11_01,20,80,60.0,down,376.364,-0.08732585632009705
cell11_01,20,81,61.0,cell,329.406,-0.08367120140089479
cell11_01,20,81,61.0,up,162.186,-0.07393777717887513
cell11_01,20,81,61.0,down,378.014,-0.08332464383146405
cell11_01,20,82,62.0,cell,327.551,-0.08883136825092593
cell11_01,20,82,62.0,up,145.632,-0.16845909243778098
cell11_01,20,82,62.0,down,376.925,-0.08596544407396178
cell11_01,20,83,63.0,cell,323.688,-0.09957731140007423
cell11_01,20,83,63.0,up,142.415,-0.1868277689623612
cell11_01,20,83,63.0,down,371.951,-0.09802728099424063
cell11_01,20,84,64.0,cell,326.221,-0.0925311105207595
cell11_01,20,84,64.0,up,158.314,-0.09604642358956045
cell11_01,20,84,64.0,down,373.894,-0.09331555016671718
cell11_01,20,85,65.0,cell,325.942,-0.093307221869093
cell11_01,20,85,65.0,up,141.523,-0.19192097986069054
cell11_01,20,85,65.0,down,375.469,-0.08949621097302214
cell11_01,20,86,66.0,cell,327.544,-0.08885084057866191
cell11_01,20,86,66.0,up,152.686,-0.12818161522162042
cell11_01,20,86,66.0,down,376.048,-0.08809214913610185
cell11_01,20,87,67.0,cell,326.829,-0.09083979976883555
cell11_01,20,87,67.0,up,148.047,-0.1546697378195463
cell11_01,20,87,67.0,down,375.066,-0.09047347681115496
cell11_01,20,88,68.0,cell,325.672,-0.09405829736748023
cell11_01,20,88,68.0,up,157.775,-0.09912404766377508
cell11_01,20,88,68.0,down,372.405,-0.09692634131555024
cell11_01,20,89,69.0,cell,327.555,-0.08882024120650533
cell11_01,20,89,69.0,up,137.217,-0.21650771318827583
cell11_01,20,89,69.0,down,377.694,-0.08410063655653224
cell11_01,20,90,70.0,cell,325.929,-0.0933433847634599
cell11_01,20,90,70.0,up,153.151,-0.12552652209637022
cell11_01,20,90,70.0,down,374.784,-0.09115732040012127
cell11_01,20,91,71.0,cell,324.967,-0.09601943894660267
cell11_01,20,91,71.0,up,147.202,-0.15949458446650627
cell11_01,20,91,71.0,down,373.923,-0.09324522582600787
cell11_01,20,92,72.0,cell,326.525,-0.0916854551447976
cell11_01,20,92,72.0,up,143.306,-0.18174026794172046
cell11_01,20,92,72.0,down,376.49,-0.08702030918460137
cell11_01,20,93,73.0,cell,329.366,-0.08378247184510038
cell11_01,20,93,73.0,up,153.717,-0.12229473132456034
cell11_01,20,93,73.0,down,378.59,-0.08192785692634137
cell11_01,20,94,74.0,cell,328.342,-0.08663099521676175
cell11_01,20,94,74.0,up,162.841,-0.07019780729277006
cell11_01,20,94,74.0,down,376.092,-0.087985450136405
cell11_01,20,95,75.0,cell,328.853,-0.08520951529203613
cell11_01,20,95,75.0,up,152.488,-0.12931217100398504
cell11_01,20,95,75.0,down,377.709,-0.0840642618975447
cell11_01,20,96,76.0,cell,327.806,-0.08812201916911575
cell11_01,20,96,76.0,up,157.767,-0.09916972668528481
cell11_01,20,96,76.0,down,376.224,-0.08766535313731437
cell11_01,20,97,77.0,cell,327.949,-0.08772422733108091
cell11_01,20,97,77.0,up,139.903,-0.2011709817164008
cell11_01,20,97,77.0,down,379.379,-0.08001454986359498
cell11_01,20,98,78.0,cell,324.672,-0.09684005847261828
cell11_01,20,98,78.0,up,150.178,-0.14250198846490522
cell11_01,20,98,78.0,down,373.351,-0.0946323128220673
cell11_01,20,99,79.0,cell,324.191,-0.09817808556418983
cell11_01,20,99,79.0,up,145.112,-0.17142822883591025
cell11_01,20,99,79.0,down,371.265,-0.09969081539860566
cell11_01,20,100,80.0,cell,326.362,-0.09213888220493498
cell11_01,20,100,80.0,up,154.016,-0.12058747789563616
cell11_01,20,100,80.0,down,375.056,-0.09049772658381332
cell11_01,20,101,81.0,cell,323.223,-0.10087083031396335
cell11_01,20,101,81.0,up,138.012,-0.21196836042575143
cell11_01,20,101,81.0,down,373.38,-0.094561988481358
cell11_01,20,102,82.0,cell,324.926,-0.09613349115191332
cell11_01,20,102,82.0,up,148.655,-0.15119813218481057
cell11_01,20,102,82.0,down,373.556,-0.09413519248257052
cell11_01,20,103,83.0,cell,326.547,-0.09162425640048444
cell11_01,20,103,83.0,up,155.926,-0.10968161151020002
cell11_01,20,103,83.0,down,373.944,-0.09319430130342524
cell11_01,20,104,84.0,cell,325.438,-0.09470922946608264
cell11_01,20,104,84.0,up,137.733,-0.2135614163009015
cell11_01,20,104,84.0,down,376.058,-0.08806789936344349
cell11_01,20,105,85.0,cell,323.083,-0.10126027686868264
cell11_01,20,105,85.0,up,153.391,-0.12415615145107993
cell11_01,20,105,85.0,down,371.165,-0.0999333131251894
cell11_01,20,106,86.0,cell,328.956,-0.08492299389820689
cell11_01,20,106,86.0,up,145.702,-0.1680594009995713
cell11_01,20,106,86.0,down,378.761,-0.08151318581388294
cell11_01,20,107,87.0,cell,327.703,-0.08840854056294499
cell11_01,20,107,87.0,up,139.911,-0.20112530269489107
cell11_01,20,107,87.0,down,377.956,-0.08346529251288265
cell11_01,20,108,88.0,cell,328.15,-0.08716509334894827
cell11_01,20,108,88.0,up,149.252,-0.14778933520465062
cell11_01,20,108,88.0,down,378.06,-0.08321309487723552
cell11_01,20,109,89.0,cell,325.201,-0.09536850684800026
cell11_01,20,109,89.0,up,141.612,-0.19141280074639536
cell11_01,20,109,89.0,down,374.64,-0.09150651712640197
cell11_01,20,110,90.0,cell,324.777,-0.09654797355657889
cell11_01,20,110,90.0,up,144.31,-0.17600755074225563
cell11_01,20,110,90.0,down,373.202,-0.09499363443467718
cell11_01,20,111,91.0,cell,326.679,-0.09125706393460635
cell11_01,20,111,91.0,up,142.523,-0.1862111021719805
cell11_01,20,111,91.0,down,376.014,-0.08817459836314032
cell11_01,20,112,92.0,cell,329.017,-0.08475330647079353
cell11_01,20,112,92.0,up,148.864,-0.15000476774787017
cell11_01,20,112,92.0,down,378.88,-0.08122461351924827
cell11_01,20,113,93.0,cell,324.952,-0.0960611653631797
cell11_01,20,113,93.0,up,152.24,-0.13072822067078507
cell11_01,20,113,93.0,down,374.318,-0.09228735980600186
cell11_01,20,114,94.0,cell,326.121,-0.09280928663127337
cell11_01,20,114,94.0,up,134.76,-0.23053688266943648
cell11_01,20,114,94.0,down,375.896,-0.08846074568050921
cell11_01,20,115,95.0,cell,324.075,-0.0985007698523858
cell11_01,20,115,95.0,up,154.221,-0.11941695296945054
cell11_01,20,115,95.0,down,372.508,-0.09667656865716888
cell11_01,20,116,96.0,cell,324.588,-0.09707372640544988
cell11_01,20,116,96.0,up,141.101,-0.19433054824532614
cell11_01,20,116,96.0,down,374.564,-0.09169081539860559
cell11_01,20,117,97.0,cell,322.47,-0.10296549642613227
cell11_01,20,117,97.0,up,138.864,-0.20710354463497047
cell11_01,20,117,97.0,down,370.997,-0.10034070930585022
cell11_01,20,118,98.0,cell,325.249,-0.09523498231495363
cell11_01,20,118,98.0,up,140.279,-0.1990240677054458
cell11_01,20,118,98.0,down,374.606,-0.09158896635344045
cell11_01,20,119,99.0,cell,323.737,-0.09944100510592237
cell11_01,20,119,99.0,up,141.256,-0.19344551720357608
cell11_01,20,119,99.0,down,371.874,-0.09821400424371016
cell11_01,20,120,100.0,cell,324.377,-0.09766067799863405
cell11_01,20,120,100.0,up,149.488,-0.14644180407011512
cell11_01,20,120,100.0,down,373.306,-0.09474143679903005
cell9_01,20,1,-3.8,cell,464.333,0.011658409262236985
cell9_01,20,1,-3.8,up,302.962,0.0799467587196144
cell9_01,20,1,-3.8,down,626.095,0.00788915802994352
cell9_01,20,2,-3.6,cell,460.918,0.004218030336701734
cell9_01,20,2,-3.6,up,279.838,-0.0024816938540823882
cell9_01,20,2,-3.6,down,624.899,0.005963834503954909
cell9_01,20,3,-3.4,cell,456.623,-0.0051396351055160786
cell9_01,20,3,-3.4,up,274.371,-0.02196951387745224
cell9_01,20,3,-3.4,down,619.769,-0.002294451188621466
cell9_01,20,4,-3.2,cell,457.757,-0.002668949980609187
cell9_01,20,4,-3.2,up,285.905,0.019144902831811708
cell9_01,20,4,-3.2,down,619.191,-0.0032249169060306155
cell9_01,20,5,-3.0,cell,455.168,-0.008309694062076432
cell9_01,20,5,-3.0,up,269.171,-0.04050557828599847
cell9_01,20,5,-3.0,down,616.897,-0.0069178033346407675
cell9_01,20,6,-2.8,cell,457.614,-0.0029805090395701684
cell9_01,20,6,-2.8,up,271.943,-0.03062443010513499
cell9_01,20,6,-2.8,down,620.306,-0.0014299873646616604
cell9_01,20,7,-2.6,cell,455.943,-0.006621174686588989
cell9_01,20,7,-2.6,up,274.762,-0.020575744419040327
cell9_01,20,7,-2.6,down,617.254,-0.006343103920946902
cell9_01,20,8,-2.4,cell,460.443,0.003183131364628706
cell9_01,20,8,-2.4,up,291.19,0.03798396060088238
cell9_01,20,8,-2.4,down,622.408,0.001953817026331586
cell9_01,20,9,-2.2,cell,460.275,0.002817103938716565
cell9_01,20,9,-2.2,up,270.743,-0.03490198343018409
cell9_01,20,9,-2.2,down,622.014,0.0013195549283052427
cell9_01,20,10,-2.0,cell,460.746,0.003843287972077358
cell9_01,20,10,-2.0,up,284.457,0.013983321819585821
cell9_01,20,10,-2.0,down,623.11,0.003083898226368351
cell9_01,20,11,-1.8,cell,458.691,-0.0006340117913120707
cell9_01,20,11,-1.8,up,286.629,0.021725693337924856
cell9_01,20,11,-1.8,down,621.868,0.0010845237955341305
cell9_01,20,12,-1.6,cell,456.419,-0.005584096979837964
cell9_01,20,12,-1.6,up,283.714,0.011334803385826247
cell9_01,20,12,-1.6,down,618.175,-0.004860476021753469
cell9_01,20,13,-1.4,cell,459.11,0.00027887803879028536
cell9_01,20,13,-1.4,up,277.781,-0.009814133178770846
cell9_01,20,13,-1.4,down,623.978,0.004481206604761292
cell9_01,20,14,-1.2,cell,454.162,-0.01050150114819316
cell9_01,20,14,-1.2,up,269.286,-0.04009564609234789
cell9_01,20,14,-1.2,down,618.622,-0.004140894402926633
cell9_01,20,15,-1.0,cell,457.434,-0.003372681281618767
cell9_01,20,15,-1.0,up,260.19,-0.07251950029622038
cell9_01,20,15,-1.0,down,623.472,0.003666646651458482
cell9_01,20,16,-0.8,cell,462.536,0.007743223045783998
cell9_01,20,16,-0.8,up,285.124,0.016360928542759074
cell9_01,20,16,-0.8,down,628.594,0.011912053925800942
cell9_01,20,17,-0.6,cell,456.906,-0.004523053191628354
cell9_01,20,17,-0.6,up,266.952,-0.04841548730956848
cell9_01,20,17,-0.6,down,623.592,0.003859822924969048
cell9_01,20,18,-0.4,cell,459.014,6.971950969763326e-05
cell9_01,20,18,-0.4,up,261.781,-0.06684817751275937
cell9_01,20,18,-0.4,down,625.425,0.006810590502842783
cell9_01,20,19,-0.2,cell,459.451,0.0010218265640047997
cell9_01,20,19,-0.2,up,293.267,0.04538769248098826
cell9_01,20,19,-0.2,down,623.108,0.0030806786218097347
cell9_01,20,20,0.0,cell,423.339,-0.07765664012967824
cell9_01,20,20,0.0,up,283.086,0.009096217145717247
cell9_01,20,20,0.0,down,558.788,-0.10046180397984959
cell9_01,20,21,0.2,cell,415.331,-0.09510394743148959
cell9_01,20,21,0.2,up,320.248,0.14156491436694726
cell9_01,20,21,0.2,down,545.937,-0.12114937307055117
cell9_01,20,22,0.4,cell,416.958,-0.09155914611030486
cell9_01,20,22,0.4,up,322.448,0.14940709546287065
cell9_01,20,22,0.4,down,550.728,-0.11343681035064222
cell9_01,20,23,0.6,cell,410.931,-0.10469038001490252
cell9_01,20,23,0.6,up,319.152,0.13765808233006904
cell9_01,20,23,0.6,down,540.874,-0.12929980201041746
cell9_01,20,24,0.8,cell,415.505,-0.09472484759750922
cell9_01,20,24,0.8,up,333.438,0.18858235466477904
cell9_01,20,24,0.8,down,542.59,-0.12653738129921646
cell9_01,20,25,1.0,cell,410.971,-0.10460323062778054
cell9_01,20,25,1.0,up,293.648,0.04674581566169146
cell9_01,20,25,1.0,down,545.412,-0.12199451926715983
cell9_01,20,26,1.2,cell,411.732,-0.10294521353778568
cell9_01,20,26,1.2,up,306.933,0.0941018955977562
cell9_01,20,26,1.2,down,542.677,-0.12639732850092134
cell9_01,20,27,1.4,cell,413.096,-0.09997341943692774
cell9_01,20,27,1.4,up,309.114,0.10187634876603295
cell9_01,20,27,1.4,down,544.73,-0.12309240442161153
cell9_01,20,28,1.6,cell,411.142,-0.10423066699783429
cell9_01,20,28,1.6,up,318.143,0.13406137290925682
cell9_01,20,28,1.6,down,542.076,-0.1273648196707534
cell9_01,20,29,1.8,cell,410.415,-0.10581460710877541
cell9_01,20,29,1.8,up,309.657,0.1038119416456177
cell9_01,20,29,1.8,down,542.171,-0.12721188845422415
cell9_01,20,30,2.0,cell,409.93,-0.1068712934276289
cell9_01,20,30,2.0,up,294.352,0.04925531361238678
cell9_01,20,30,2.0,down,543.05,-0.12579687225075945
cell9_01,20,31,2.2,cell,409.413,-0.1079976992561799
cell9_01,20,31,2.2,up,300.771,0.07213665927362894
cell9_01,20,31,2.2,down,544.079,-0.12414038570540642
cell9_01,20,32,2.4,cell,407.453,-0.1122680192251548
cell9_01,20,32,2.4,up,291.867,0.04039721360176435
cell9_01,20,32,2.4,down,543.444,-0.1251626101527331
cell9_01,20,33,2.6,cell,412.437,-0.1014092055897616
cell9_01,20,33,2.6,up,298.457,0.06388811061182578
