cell,stimul,frame,time,mask,int,delta
cell11_01,20,1,-19.0,cell,359.972,0.001356108538754832
cell11_01,20,1,-19.0,up,183.074,0.04533014798289999
cell11_01,20,1,-19.0,down,410.708,-0.004042437102152102
cell11_01,20,2,-18.0,cell,358.624,-0.0023937054309711406
cell11_01,20,2,-18.0,up,175.043,-0.0005258797351302867
cell11_01,20,2,-18.0,down,411.107,-0.003074871173082685
cell11_01,20,3,-17.0,cell,359.501,4.5899058234799363e-05
cell11_01,20,3,-17.0,up,188.395,0.07571240716452605
cell11_01,20,3,-17.0,down,410.252,-0.005148226735374332
cell11_01,20,4,-16.0,cell,359.664,0.0004993261183723323
cell11_01,20,4,-16.0,up,173.903,-0.0070351403002598045
cell11_01,20,4,-16.0,down,412.136,-0.0005795695665352553
cell11_01,20,5,-15.0,cell,359.803,0.0008859909119865492
cell11_01,20,5,-15.0,up,169.922,-0.0297661633790144
cell11_01,20,5,-15.0,down,415.48,0.007529554410427446
cell11_01,20,6,-14.0,cell,358.047,-0.003998781588635792
cell11_01,20,6,-14.0,up,171.457,-0.021001501126844523
cell11_01,20,6,-14.0,down,411.426,-0.002301303425280418
cell11_01,20,7,-13.0,cell,361.609,0.005909851467865825
cell11_01,20,7,-13.0,up,181.213,0.03470406560421052
cell11_01,20,7,-13.0,down,414.078,0.0041297362837222785
cell11_01,20,8,-12.0,cell,358.646,-0.0023325066866581277
cell11_01,20,8,-12.0,up,163.744,-0.06504178773986495
cell11_01,20,8,-12.0,down,411.904,-0.0011421642922097694
cell11_01,20,9,-11.0,cell,359.654,0.000471508507320977
cell11_01,20,9,-11.0,up,165.612,-0.05437573621735464
cell11_01,20,9,-11.0,down,413.878,0.0036447408305546793
cell11_01,20,10,-10.0,cell,359.325,-0.00044369089626946365
cell11_01,20,10,-10.0,up,178.988,0.02199958774683074
cell11_01,20,10,-10.0,down,412.781,0.0009845407699302963
cell11_01,20,11,-9.0,cell,356.284,-0.00890302641699427
cell11_01,20,11,-9.0,up,170.682,-0.02542665633559483
cell11_01,20,11,-9.0,down,409.058,-0.008043649590785105
cell11_01,20,12,-8.0,cell,355.592,-0.010828005101749824
cell11_01,20,12,-8.0,up,165.368,-0.05576894637339989
cell11_01,20,12,-8.0,down,409.844,-0.0061376174598363285
cell11_01,20,13,-7.0,cell,359.218,-0.0007413393345191543
cell11_01,20,13,-7.0,up,172.942,-0.012522332759110053
cell11_01,20,13,-7.0,down,412.168,-0.000501970294028478
cell11_01,20,14,-6.0,cell,358.13,-0.003767895416909417
cell11_01,20,14,-6.0,up,169.298,-0.03332912705676943
cell11_01,20,14,-6.0,down,411.921,-0.001100939678690531
cell11_01,20,15,-5.0,cell,358.809,-0.0018790796265205948
cell11_01,20,15,-5.0,up,161.752,-0.07641586409577526
cell11_01,20,15,-5.0,down,414.7,0.005638072143073631
cell11_01,20,16,-4.0,cell,355.233,-0.01182665733849433
cell11_01,20,16,-4.0,up,164.667,-0.059771570633185576
cell11_01,20,16,-4.0,down,412.378,7.274931797480213e-06
cell11_01,20,17,-3.0,cell,357.377,-0.005862561529078331
cell11_01,20,17,-3.0,up,148.651,-0.15122097169556536
cell11_01,20,17,-3.0,down,416.934,0.01105547135495611
cell11_01,20,18,-2.0,cell,357.853,-0.004538443243032621
cell11_01,20,18,-2.0,up,153.911,-0.12118701505295065
cell11_01,20,18,-2.0,down,414.79,0.00585632009699914
cell11_01,20,19,-1.0,cell,357.595,-0.005256137608158186
cell11_01,20,19,-1.0,up,176.174,0.005931991930800758
cell11_01,20,19,-1.0,down,410.418,-0.004745680509245211
cell11_01,20,20,0.0,cell,333.384,-0.0726053557246556
cell11_01,20,20,0.0,up,193.058,0.10233756682698082
cell11_01,20,20,0.0,down,371.872,-0.09821885419824186
