cell,stimul,frame,time,mask,int,delta
cell7_01,10,34,4.8,down,1419.918,-0.15007826914337785
cell7_01,10,35,5.0,cell,1015.835,-0.06975881686336008
cell7_01,10,35,5.0,up,1711.762,0.1855928227307526
cell7_01,10,35,5.0,down,1417.196,-0.15170757939325968
cell7_01,10,36,5.2,cell,1019.433,-0.0664639827840799
cell7_01,10,36,5.2,up,1700.184,0.1775737209504954
cell7_01,10,36,5.2,down,1423.571,-0.14789168929664073
cell7_01,10,37,5.4,cell,1021.076,-0.06495942125204612
cell7_01,10,37,5.4,up,1696.872,0.17527977855144453
cell7_01,10,37,5.4,down,1428.711,-0.14481503437952362
cell7_01,10,38,5.6,cell,1012.324,-0.07297398152493684
cell7_01,10,38,5.6,up,1705.865,0.18150846937108975
cell7_01,10,38,5.6,down,1414.728,-0.1531848526102722
cell7_01,10,39,5.8,cell,1018.564,-0.06725976122068207
cell7_01,10,39,5.8,up,1697.316,0.17558729981508536
cell7_01,10,39,5.8,down,1427.075,-0.14579429652824022
cell7_01,10,40,6.0,cell,1015.174,-0.07036412128982046
cell7_01,10,40,6.0,up,1681.319,0.16450753032305088
cell7_01,10,40,6.0,down,1419.861,-0.15011238769012394
cell7_01,10,41,6.2,cell,1025.393,-0.06100616980116987
cell7_01,10,41,6.2,up,1697.206,0.17551111211463372
cell7_01,10,41,6.2,down,1431.574,-0.14310132561926944
cell7_01,10,42,6.4,cell,1016.419,-0.06922402445026962
cell7_01,10,42,6.4,up,1707.585,0.1826997679599689
cell7_01,10,42,6.4,down,1416.399,-0.1521846404767115
cell7_01,10,43,6.6,cell,1017.351,-0.0683705543663649
cell7_01,10,43,6.6,up,1674.184,0.1595657190255785
cell7_01,10,43,6.6,down,1425.547,-0.1467089130094377
cell7_01,10,44,6.8,cell,1018.619,-0.06720939549684643
cell7_01,10,44,6.8,up,1700.468,0.17777042374075225
cell7_01,10,44,6.8,down,1432.965,-0.14226871336446217
cell7_01,10,45,7.0,cell,1024.947,-0.061414590034454875
cell7_01,10,45,7.0,up,1703.894,0.18014332430208932
cell7_01,10,45,7.0,down,1436.029,-0.14043469183410284
cell7_01,10,46,7.2,cell,1021.2,-0.06484586943830771
cell7_01,10,46,7.2,up,1687.188,0.16857249044987166
cell7_01,10,46,7.2,down,1441.697,-0.13704199143133647
cell7_01,10,47,7.4,cell,1019.373,-0.0665189272100823
cell7_01,10,47,7.4,up,1679.39,0.1631714751033139
cell7_01,10,47,7.4,down,1443.11,-0.13619621061462703
cell7_01,10,48,7.6,cell,1020.524,-0.06546490997126868
cell7_01,10,48,7.6,up,1691.138,0.17130832151154157
cell7_01,10,48,7.6,down,1431.635,-0.14306481278854108
cell7_01,10,49,7.8,cell,1021.756,-0.06433671775735174
cell7_01,10,49,7.8,up,1679.408,0.16318394218156945
cell7_01,10,49,7.8,down,1443.58,-0.13591488224671944
cell7_01,10,50,8.0,cell,1023.077,-0.06312702464486446
cell7_01,10,50,8.0,up,1683.457,0.16598834217364608
cell7_01,10,50,8.0,down,1441.006,-0.13745560398926007
cell7_01,10,51,8.2,cell,1022.994,-0.06320303110083449
cell7_01,10,51,8.2,up,1669.287,0.15617398112456632
cell7_01,10,51,8.2,down,1449.429,-0.13241384049375868
cell7_01,10,52,8.4,cell,1023.809,-0.062456702647634595
cell7_01,10,52,8.4,up,1667.741,0.15510319762549238
cell7_01,10,52,8.4,down,1445.667,-0.1346656645790106
cell7_01,10,53,8.6,cell,1021.884,-0.06421950298187981
cell7_01,10,53,8.6,up,1667.22,0.15474234497153544
cell7_01,10,53,8.6,down,1443.558,-0.13592805080862144
cell7_01,10,54,8.8,cell,1022.587,-0.0635757374572178
cell7_01,10,54,8.8,up,1628.635,0.1280177774995001
cell7_01,10,54,8.8,down,1457.718,-0.12745228551166074
cell7_01,10,55,9.0,cell,1022.83,-0.06335321253190783
cell7_01,10,55,9.0,up,1700.887,0.1780606296179268
cell7_01,10,55,9.0,down,1448.711,-0.13284361446856224
