cell,feature,time,int
cell13_01,100,102,0.790151290020579
cell13_01,100,103,0.765805461277039
cell13_01,100,104,0.674155571096925
cell13_01,100,105,0.710298937998128
cell13_01,100,106,0.744735236878032
cell13_01,100,107,0.690140341547667
cell13_01,100,108,0.656883796483529
cell13_01,100,109,0.716269207308218
cell13_01,100,110,0.661289998234838
cell13_01,100,111,0.70545479733036
cell13_01,100,112,0.65329537862724
cell13_01,100,113,0.706366425278907
cell13_01,100,114,0.707675773263829
cell13_01,100,115,0.713918637205592
cell13_01,100,116,0.661571530395419
cell13_01,100,117,0.652397156972055
cell13_01,100,118,0.627827890005832
cell28_01,5,1,-0.014087945206766
cell28_01,5,2,-0.009550008841152
cell28_01,5,3,0.00058993172753
cell28_01,5,4,0.319707005791346
cell28_01,5,5,0.312483862941803
cell28_01,5,6,0.294413487372801
cell28_01,5,7,0.275463691032255
cell28_01,5,8,0.264979493222044
cell28_01,5,9,0.267223424514558
cell28_01,5,10,0.268018345781362
cell28_01,5,11,0.271088494453546
cell28_01,5,12,0.268174826345694
cell28_01,5,13,0.259887615658697
cell28_01,5,14,0.260128595727768
cell28_01,5,15,0.251337517623624
cell28_01,5,16,0.227489879619502
cell28_01,5,17,0.233163864882162
cell28_01,5,18,0.230835434084909
cell28_01,5,19,0.234431357453247
cell28_01,5,20,0.23821818711007
cell28_01,5,21,0.234140303603591
cell28_01,5,22,0.219587611120761
cell28_01,5,23,0.231192209771585
cell28_01,5,24,0.239454383568289
cell28_01,5,25,0.224400953279598
cell28_01,5,26,0.233069976543563
cell28_01,5,27,0.218811467521676
cell28_01,5,28,0.22478902507914
cell28_01,5,29,0.229877773031201
cell28_01,5,30,0.218216841377217
cell28_01,5,31,0.220980288143311
cell28_01,5,32,0.224363397944158
cell28_01,5,33,0.222507538451187
cell28_01,5,34,0.216961867251278
cell28_01,5,35,0.203110207696653
cell28_01,5,36,0.210715163123164
cell28_01,5,37,0.220551531397043
cell28_01,5,38,0.218811467521676
cell28_01,5,39,0.21651433283729
cell28_01,5,40,0.194945051849835
cell28_01,5,41,0.211131401424286
cell28_01,5,42,0.204399607546744
cell28_01,5,43,0.207638755228407
cell28_01,5,44,0.202478026216754
cell28_01,5,45,0.215018378642281
cell28_01,5,46,0.205814191848301
cell28_01,5,47,0.202841061126003
cell28_01,5,48,0.21450825200256
cell28_01,5,49,0.212668040566022
cell28_01,5,50,0.206440114105628
cell28_01,5,51,0.198143514584771
cell28_01,5,52,0.19081709456277
cell28_01,5,53,0.204452810938617
cell28_01,5,54,0.183255953694271
cell28_01,5,55,0.197730405894936
cell28_01,5,56,0.190344523258489
cell28_01,5,57,0.202556266498919
cell28_01,5,58,0.193255061755055
cell28_01,5,59,0.175701072048346
cell28_01,5,60,0.186720433388571
cell28_01,5,61,0.181728703386396
cell28_01,5,62,0.190391467427788
cell28_01,5,63,0.196691374947775
cell28_01,5,64,0.179475383260022
cell28_01,5,65,0.17936584686499
cell28_01,5,66,0.183218398358832
cell28_01,5,67,0.170437065864234
cell28_01,5,68,0.156125353450475
cell28_01,5,69,0.16539839169276
cell28_01,5,70,0.173225549520622
cell28_01,5,71,0.161254786349261
cell28_01,5,72,0.169933198447087
cell28_01,5,73,0.137532332796605
cell28_01,5,74,0.145249954229435
cell28_01,5,75,0.175118964349033
cell28_01,5,76,0.158532024529893
cell28_01,5,77,0.139447654904023
cell28_01,5,78,0.175604054098461
cell28_01,5,79,0.164224787460273
cell28_01,5,80,0.166556347868813
cell28_01,5,81,0.161214101402535
cell28_01,5,82,0.168953630114372
cell28_01,5,83,0.177891799948987
cell28_01,5,84,0.170903377945942
cell28_01,5,85,0.169366738804207
cell28_01,5,86,0.16191513433074
cell28_01,5,87,0.186081992686098
cell28_01,5,88,0.183813024503292
cell28_01,5,89,0.178464518814441
cell28_01,5,90,0.195786917285939
cell28_01,5,91,0.196534894383443
cell28_01,5,92,0.202208879646103
cell28_01,5,93,0.18649823098722
cell28_01,5,94,0.1961937667532
cell28_01,5,95,0.187953500235503
cell28_01,5,96,0.188135017690128
cell28_01,5,97,0.183027492070347
cell28_01,5,98,0.175165908518333
cell28_01,5,99,0.181853887837861
cell28_01,5,100,0.16765484143042
cell28_01,5,101,0.183722265775979
cell28_01,5,102,0.187186745470279
cell28_01,5,103,0.182432865925888
cell28_01,5,104,0.169870606221354
cell28_01,5,105,0.171357171582504
cell28_01,5,106,0.179525457040608
cell28_01,5,107,0.198052755857459
cell28_01,5,108,0.199846023124698
cell28_01,5,109,0.190306967923049
cell28_01,5,110,0.171138098792439
cell28_01,5,111,0.16968908876673
cell28_01,5,112,0.158494469194454
cell28_01,5,113,0.163555050644935
cell28_01,5,114,0.169119499512563
cell28_01,5,115,0.152131969448735
cell28_01,5,116,0.176652473879482
cell28_01,5,117,0.164393786469752
cell28_01,5,118,0.170327529469202
cell27_01,5,1,-0.008474035378852
cell27_01,5,2,-0.001622635395545
cell27_01,5,3,0.000392771048846
cell27_01,5,4,0.469351584094737
cell27_01,5,5,0.463189988265965
cell27_01,5,6,0.474047652947501
cell27_01,5,7,0.457801660439609
cell27_01,5,8,0.461950304643045
cell27_01,5,9,0.458692759756679
cell27_01,5,10,0.44627873979409
cell27_01,5,11,0.445348363372136
cell27_01,5,12,0.446536495794895
cell27_01,5,13,0.458103603183409
cell27_01,5,14,0.457423618305095
cell27_01,5,15,0.453152233148895
cell27_01,5,16,0.441698047436924
cell27_01,5,17,0.429752897913895
cell27_01,5,18,0.450643408074391
cell27_01,5,19,0.44034053249935
cell27_01,5,20,0.435624825094142
cell27_01,5,21,0.440099960231932
cell27_01,5,22,0.437252370127798
cell27_01,5,23,0.436687761745082
cell27_01,5,24,0.439191677181475
cell27_01,5,25,0.43880872540885
cell27_01,5,26,0.451468227276968
cell27_01,5,27,0.446804071071922
cell27_01,5,28,0.446298378346532
cell27_01,5,29,0.433663424668968
cell27_01,5,30,0.445804959716419
cell27_01,5,31,0.435205051035688
cell27_01,5,32,0.437286737594572
cell27_01,5,33,0.421521889621516
cell27_01,5,34,0.433525954801872
cell27_01,5,35,0.431429539328656
cell27_01,5,36,0.439572174135045
cell27_01,5,37,0.446214914498652
cell27_01,5,38,0.44661750482372
cell27_01,5,39,0.446914537929409
cell27_01,5,40,0.451092639961509
cell27_01,5,41,0.452749642823827
cell27_01,5,42,0.452378965146479
cell27_01,5,43,0.439982128917278
cell27_01,5,44,0.453704567436334
cell27_01,5,45,0.453228332539609
cell27_01,5,46,0.450223634015937
cell27_01,5,47,0.43521487031191
cell27_01,5,48,0.43043779243032
cell27_01,5,49,0.433768981888345
cell27_01,5,50,0.444248604435367
cell27_01,5,51,0.45772310622984
cell27_01,5,52,0.480697757768275
cell27_01,5,53,0.485391371801985
cell27_01,5,54,0.472208993475091
cell27_01,5,55,0.473603330698494
cell27_01,5,56,0.479386884392751
cell27_01,5,57,0.48155448961857
cell27_01,5,58,0.47288161389624
cell27_01,5,59,0.476443556345462
