cell,stimul,frame,time,mask,int,delta,rel
cell3_01_27,20,23,0.6,cell,2017.271,-0.06334929155630674,2017.271
cell3_01_27,20,23,0.6,up,1767.857,0.01894908686880488,0.8763606872849508
cell3_01_27,20,23,0.6,down,2071.53,-0.08565692579137509,1.0268972289791507
cell3_01_27,20,24,0.8,cell,2026.253,-0.05917880744027016,2026.253
cell3_01_27,20,24,0.8,up,1756.84,0.012599160324953384,0.8670388149949685
cell3_01_27,20,24,0.8,down,2073.442,-0.08481299692822238,1.0232887995724127
cell3_01_27,20,25,1.0,cell,2018.824,-0.06262820918799174,2018.824
cell3_01_27,20,25,1.0,up,1686.042,-0.02820705728887944,0.8351604696595641
cell3_01_27,20,25,1.0,down,2101.45,-0.07245067496212244,1.0409277876625203
cell3_01_27,20,26,1.2,cell,2009.105,-0.06714089401584299,2009.105
cell3_01_27,20,26,1.2,up,1691.546,-0.025034687705747977,0.8419400678411532
cell3_01_27,20,26,1.2,down,2098.491,-0.07375673432722127,1.044490457193626
cell3_01_27,20,27,1.4,cell,2030.669,-0.057128389063915416,2030.669
cell3_01_27,20,27,1.4,up,1653.983,-0.04668507263510201,0.8145015263442736
cell3_01_27,20,27,1.4,down,2112.734,-0.06747008223627719,1.0404127900706615
cell3_01_27,20,28,1.6,cell,2014.966,-0.06441953937276906,2014.966
cell3_01_27,20,28,1.6,up,1619.546,-0.06653370841531553,0.8037584753291123
cell3_01_27,20,28,1.6,down,2099.435,-0.07334006652030904,1.041920806604181
cell3_01_27,20,29,1.8,cell,2024.845,-0.05983256402403537,2024.845
cell3_01_27,20,29,1.8,up,1698.866,-0.020815620600275312,0.8390103933881359
cell3_01_27,20,29,1.8,down,2119.716,-0.06438832945252577,1.0468534628576507
cell3_01_27,20,30,2.0,cell,2019.887,-0.06213464153987925,2019.887
cell3_01_27,20,30,2.0,up,1676.185,-0.033888388499076744,0.829840976252632
cell3_01_27,20,30,2.0,down,2118.474,-0.06493653010526403,1.0488081759029095
cell3_01_27,20,31,2.2,cell,2033.979,-0.05559150391316047,2033.979
cell3_01_27,20,31,2.2,up,1716.874,-0.010436254420582342,0.8440962271488546
cell3_01_27,20,31,2.2,down,2124.585,-0.06223922399505138,1.044546182630204
cell3_01_27,20,32,2.4,cell,2021.176,-0.0615361385310203,2021.176
cell3_01_27,20,32,2.4,up,1629.218,-0.060959006633330266,0.8060742854654914
cell3_01_27,20,32,2.4,down,2107.434,-0.06980942479627172,1.042677134499915
cell3_01_27,20,33,2.6,cell,2021.232,-0.061510136848711434,2021.232
cell3_01_27,20,33,2.6,up,1642.454,-0.053330103326221505,0.812600433794834
cell3_01_27,20,33,2.6,down,2115.379,-0.06630261788322327,1.0465790171538942
cell3_01_27,20,34,2.8,cell,2023.837,-0.060300594305594604,2023.837
cell3_01_27,20,34,2.8,up,1622.782,-0.06466855798453558,0.8018343374491127
cell3_01_27,20,34,2.8,down,2116.866,-0.0656462778102587,1.0459666465234108
cell3_01_27,20,35,3.0,cell,2025.183,-0.05967562529867128,2025.183
cell3_01_27,20,35,3.0,up,1708.798,-0.015091061243505514,0.8437746119733377
cell3_01_27,20,35,3.0,down,2112.527,-0.06756144901173354,1.0431289419277172
cell3_01_27,20,36,3.2,cell,2021.216,-0.061517565900799716,2021.216
cell3_01_27,20,36,3.2,up,1657.798,-0.04448620091278253,0.8201983360511692
cell3_01_27,20,36,3.2,down,2111.904,-0.0678364321088801,1.044868039833447
cell3_01_27,20,37,3.4,cell,2009.611,-0.06690595024355231,2009.611
cell3_01_27,20,37,3.4,up,1627.899,-0.06171924563771815,0.8100567721812828
cell3_01_27,20,37,3.4,down,2104.006,-0.07132249390866086,1.0469717771250255
cell3_01_27,20,38,3.6,cell,2026.762,-0.058942470720712965,2026.762
cell3_01_27,20,38,3.6,up,1626.21,-0.06269274349853,0.8023685070077297
cell3_01_27,20,38,3.6,down,2117.838,-0.06521725121246336,1.044936701990663
cell3_01_27,20,39,3.8,cell,2019.479,-0.06232408236812936,2019.479
cell3_01_27,20,39,3.8,up,1682.798,-0.030076818721960462,0.8332832379044298
cell3_01_27,20,39,3.8,down,2112.213,-0.06770004402377844,1.0459197644540994
cell3_01_27,20,40,4.0,cell,2020.686,-0.061763653251222704,2020.686
cell3_01_27,20,40,4.0,up,1713.647,-0.012296217473773706,0.8480520971590836
cell3_01_27,20,40,4.0,down,2112.957,-0.06737165329460197,1.0456632054658666
cell3_01_27,20,41,4.2,cell,2025.516,-0.05952100815208471,2025.516
cell3_01_27,20,41,4.2,up,1616.025,-0.06856312580307088,0.7978337371810442
cell3_01_27,20,41,4.2,down,2134.95,-0.05766426444140157,1.0540277144194368
cell3_01_27,20,42,4.4,cell,2032.312,-0.05636551827760421,2032.312
cell3_01_27,20,42,4.4,up,1662.681,-0.04167176038327114,0.8181229063254067
cell3_01_27,20,42,4.4,down,2131.66,-0.059116422370152945,1.048884226437673
cell3_01_27,20,43,4.6,cell,2036.316,-0.0545063979925217,2036.316
cell3_01_27,20,43,4.6,up,1674.723,-0.03473104916959601,0.822427855008751
cell3_01_27,20,43,4.6,down,2129.825,-0.05992636455837752,1.0459206724300156
cell3_01_27,20,44,4.8,cell,2022.616,-0.06086752384307854,2022.616
cell3_01_27,20,44,4.8,up,1659.21,-0.04367235900664487,0.8203287228025488
cell3_01_27,20,44,4.8,down,2115.681,-0.06616931949584239,1.0460121941090152
cell3_01_27,20,45,5.0,cell,2028.896,-0.057951620898443745,2028.896
cell3_01_27,20,45,5.0,up,1652.773,-0.047382486733137816,0.8146169148147564
cell3_01_27,20,45,5.0,down,2121.721,-0.06350335174822586,1.0457514825796888
cell3_01_27,20,46,5.2,cell,2027.401,-0.05864577295293876,2027.401
cell3_01_27,20,46,5.2,up,1655.739,-0.045672957630018614,0.8166805678797633
cell3_01_27,20,46,5.2,down,2111.562,-0.0679873859118081,1.0415117680222117
cell3_01_27,20,47,5.4,cell,2022.473,-0.060933920996117205,2022.473
cell3_01_27,20,47,5.4,up,1705.092,-0.01722710805947292,0.8430728123440956
cell3_01_27,20,47,5.4,down,2113.152,-0.06728558314380964,1.0448357036163154
cell3_01_27,20,48,5.6,cell,2022.368,-0.0609826741504463,2022.368
cell3_01_27,20,48,5.6,up,1667.622,-0.03882389008707705,0.8245887988734
cell3_01_27,20,48,5.6,down,2114.087,-0.0668728878053955,1.0453522800993686
cell3_01_27,20,49,5.8,cell,2017.203,-0.06338086502768175,2017.203
cell3_01_27,20,49,5.8,up,1663.571,-0.04115878637727795,0.8246919125145065
cell3_01_27,20,49,5.8,down,2109.058,-0.06909261492505836,1.045535823613191
cell3_01_27,20,50,6.0,cell,2008.299,-0.06751513251478818,2008.299
cell3_01_27,20,50,6.0,up,1612.429,-0.07063577133739872,0.8028829372518734
cell3_01_27,20,50,6.0,down,2109.816,-0.06875804480044034,1.050548747970297
cell3_01_27,20,51,6.2,cell,2011.044,-0.06624058576589918,2011.044
cell3_01_27,20,51,6.2,up,1628.992,-0.061089267448335365,0.8100230527029741
cell3_01_27,20,51,6.2,down,2106.345,-0.0702900934845425,1.0473888189418032
cell3_01_27,20,52,6.4,cell,2035.506,-0.0548824937544889,2035.506
cell3_01_27,20,52,6.4,up,1602.462,-0.07638050382923572,0.787254864392441
cell3_01_27,20,52,6.4,down,2131.166,-0.05933446675215985,1.046995685593656
