cell,stimul,frame,time,mask,int,delta,rel
cell8_02_22,20,24,4.0,cell,456.078,-0.0799460730805381,456.078
cell8_02_22,20,24,4.0,up,511.331,0.05509106804935133,1.1211481369414882
cell8_02_22,20,24,4.0,down,428.378,-0.13532967249232222,0.9392647748849977
cell8_02_22,20,25,5.0,cell,457.299,-0.077482928958768,457.299
cell8_02_22,20,25,5.0,up,490.241,0.011573521440284302,1.0720360201968515
cell8_02_22,20,25,5.0,down,434.916,-0.12213288227143039,0.9510539056503513
cell8_02_22,20,26,6.0,cell,456.315,-0.07946796893896597,456.315
cell8_02_22,20,26,6.0,up,490.65,0.012417460585049974,1.0752440748167384
cell8_02_22,20,26,6.0,down,432.724,-0.1265573796963608,0.9483010639580114
cell8_02_22,20,27,7.0,cell,456.459,-0.07917747528332722,456.459
cell8_02_22,20,27,7.0,up,496.751,0.025006391446212493,1.088270797596279
cell8_02_22,20,27,7.0,down,431.699,-0.12862631667654034,0.9457563548971539
cell8_02_22,20,28,8.0,cell,458.301,-0.07546157727161512,458.301
cell8_02_22,20,28,8.0,up,486.883,0.004644554085459881,1.0623651268489487
cell8_02_22,20,28,8.0,down,436.943,-0.11804143323843137,0.9533974396739261
cell8_02_22,20,29,9.0,cell,458.75,-0.0745558019147971,458.75
cell8_02_22,20,29,9.0,up,501.074,0.03392655996166996,1.092259400544959
cell8_02_22,20,29,9.0,down,435.245,-0.12146880396267029,0.9487629427792915
cell8_02_22,20,30,10.0,cell,458.178,-0.07570970726913985,458.178
cell8_02_22,20,30,10.0,up,478.603,-0.012440570899038614,1.0445787445054107
cell8_02_22,20,30,10.0,down,437.575,-0.11676575697357917,0.9550327601936365
cell8_02_22,20,31,11.0,cell,459.29,-0.0734664507061518,459.29
cell8_02_22,20,31,11.0,up,489.825,0.010715138349275686,1.066483049924884
cell8_02_22,20,31,11.0,down,435.94,-0.12006596376635342,0.9491606610202704
cell8_02_22,20,32,12.0,cell,459.07,-0.07391026045782215,459.07
cell8_02_22,20,32,12.0,up,477.895,-0.013901472890466806,1.0410068181323109
cell8_02_22,20,32,12.0,down,436.826,-0.11827759482543716,0.9515455159343892
cell8_02_22,20,33,13.0,cell,458.91,-0.07423303118630957,458.91
cell8_02_22,20,33,13.0,up,495.595,0.02262107689523671,1.0799394216730949
cell8_02_22,20,33,13.0,down,437.693,-0.11652757691147071,0.9537665337429996
cell8_02_22,20,34,14.0,cell,459.113,-0.07382351582454112,459.113
cell8_02_22,20,34,14.0,up,492.763,0.01677746892952406,1.0732935029066917
cell8_02_22,20,34,14.0,down,435.921,-0.12010431479330311,0.9494852029892423
cell8_02_22,20,35,15.0,cell,459.993,-0.07204827681785998,459.993
cell8_02_22,20,35,15.0,up,488.128,0.007213513095810216,1.0611639742343906
cell8_02_22,20,35,15.0,down,436.401,-0.11913544674404823,0.9487122630126981
cell8_02_22,20,36,16.0,cell,460.196,-0.07163876145609142,460.196
cell8_02_22,20,36,16.0,up,483.988,-0.0013290493964390315,1.05169971055811
cell8_02_22,20,36,16.0,down,439.187,-0.11351197510816499,0.9543477127137132
cell8_02_22,20,37,17.0,cell,460.491,-0.07104365292544271,460.491
cell8_02_22,20,37,17.0,up,496.568,0.024628785423004385,1.078344636485838
cell8_02_22,20,37,17.0,down,437.324,-0.1172723942243353,0.9496906562777557
cell8_02_22,20,38,18.0,cell,460.297,-0.07143501243373371,460.297
cell8_02_22,20,38,18.0,up,484.864,0.000478507304819462,1.0533720619513052
cell8_02_22,20,38,18.0,down,438.14,-0.11562531854060214,0.9518636880101325
cell8_02_22,20,39,19.0,cell,458.647,-0.07476358557126093,458.647
cell8_02_22,20,39,19.0,up,492.584,0.016408116589883386,1.0739937250216398
cell8_02_22,20,39,19.0,down,436.733,-0.11846531300998032,0.9522203350289002
cell8_02_22,20,40,20.0,cell,454.847,-0.08242939037283865,454.847
cell8_02_22,20,40,20.0,up,482.027,-0.005375417765352302,1.0597563576323468
cell8_02_22,20,40,20.0,down,434.518,-0.1229362353622709,0.9553058500990442
cell8_02_22,20,41,21.0,cell,462.761,-0.06646434321502648,462.761
cell8_02_22,20,41,21.0,up,495.381,0.0221795048243812,1.0704899505360217
cell8_02_22,20,41,21.0,down,439.131,-0.11362500971391147,0.948936924243832
cell8_02_22,20,42,22.0,cell,461.275,-0.06946207635585407,461.275
cell8_02_22,20,42,22.0,up,494.436,0.020229572081585184,1.0718898704677253
cell8_02_22,20,42,22.0,down,438.896,-0.11409935136302572,0.9514844723863206
cell8_02_22,20,43,23.0,cell,461.492,-0.06902431855534283,461.492
cell8_02_22,20,43,23.0,up,488.237,0.007438425973021687,1.0579533339689529
cell8_02_22,20,43,23.0,down,438.398,-0.1151045519641276,0.9499579624348852
cell8_02_22,20,44,24.0,cell,461.039,-0.06993816318037308,461.039
cell8_02_22,20,44,24.0,up,488.864,0.008732190872210067,1.060352811801171
cell8_02_22,20,44,24.0,down,442.316,-0.10719616651208515,0.9593895527276434
cell8_02_22,20,45,25.0,cell,459.11,-0.07382956777570024,459.11
cell8_02_22,20,45,25.0,up,483.428,-0.002484565095873721,1.052967698372939
cell8_02_22,20,45,25.0,down,436.471,-0.11899415348686525,0.9506893772734203
cell8_02_22,20,46,26.0,cell,458.645,-0.07476762020536705,458.645
cell8_02_22,20,46,26.0,up,470.276,-0.029622676665454,1.0253594828244068
cell8_02_22,20,46,26.0,down,441.086,-0.10967889088830057,0.9617154880136054
cell8_02_22,20,47,27.0,cell,461.727,-0.06855024904787693,461.727
cell8_02_22,20,47,27.0,up,482.895,-0.003584368431228551,1.0458452722063036
cell8_02_22,20,47,27.0,down,440.536,-0.11078905219473842,0.9541049148089673
cell8_02_22,20,48,28.0,cell,459.847,-0.07234280510760484,459.847
cell8_02_22,20,48,28.0,up,486.638,0.004139015966957197,1.0582606823573928
cell8_02_22,20,48,28.0,down,438.15,-0.11560513378957601,0.9528169151913571
