ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_01_17_03,17_03,cell4_17_03,1,10,20,16,-4.0,down,657.653,0.06416911287713993,0.056855024684493584
cell4_01_17_03,17_03,cell4_17_03,1,10,20,17,-3.0,cell,622.817,0.0035783326455540894,622.817
cell4_01_17_03,17_03,cell4_17_03,1,10,20,17,-3.0,up,435.211,-0.06069399405394608,-0.0640582959194909
cell4_01_17_03,17_03,cell4_17_03,1,10,20,17,-3.0,down,639.955,0.035531419504343645,0.031833857106898567
cell4_01_17_03,17_03,cell4_17_03,1,10,20,18,-2.0,cell,620.249,-0.000559623059305872,620.249
cell4_01_17_03,17_03,cell4_17_03,1,10,20,18,-2.0,up,441.251,-0.047657999384890994,-0.04714015898426296
cell4_01_17_03,17_03,cell4_17_03,1,10,20,18,-2.0,down,635.128,0.02772069818495796,0.028290875958367205
cell4_01_17_03,17_03,cell4_17_03,1,10,20,19,-1.0,cell,623.249,0.004274437343567946,623.249
cell4_01_17_03,17_03,cell4_17_03,1,10,20,19,-1.0,up,450.254,-0.02822702918530421,-0.03237878164535382
cell4_01_17_03,17_03,cell4_17_03,1,10,20,19,-1.0,down,638.889,0.03380649119971025,0.029401072051838038
cell4_01_17_03,17_03,cell4_17_03,1,10,20,20,0.0,cell,620.426,-0.00027441349553628306,620.426
cell4_01_17_03,17_03,cell4_17_03,1,10,20,20,0.0,up,465.358,0.004371590596386013,0.004631031511978629
cell4_01_17_03,17_03,cell4_17_03,1,10,20,20,0.0,down,610.249,-0.012536798335654556,-0.012270822903201927
cell4_01_17_03,17_03,cell4_17_03,1,10,20,21,1.0,cell,605.072,-0.025015134637444546,605.072
cell4_01_17_03,17_03,cell4_17_03,1,10,20,21,1.0,up,454.115,-0.019893920672519137,0.005236351032281261
cell4_01_17_03,17_03,cell4_17_03,1,10,20,21,1.0,down,595.989,-0.03561135520626566,-0.010873166587016833
cell4_01_17_03,17_03,cell4_17_03,1,10,20,22,2.0,cell,604.171,-0.02646696411177424,604.171
cell4_01_17_03,17_03,cell4_17_03,1,10,20,22,2.0,up,469.57,0.013462254428515185,0.04099791856147224
cell4_01_17_03,17_03,cell4_17_03,1,10,20,22,2.0,down,595.365,-0.036621069335807166,-0.01043524149317069
cell4_01_17_03,17_03,cell4_17_03,1,10,20,23,3.0,cell,601.024,-0.031537893474388956,601.024
cell4_01_17_03,17_03,cell4_17_03,1,10,20,23,3.0,up,471.634,0.017916938699530108,0.05104832639139626
