"","power","mean_yfp","mean_fluo"
"1","50",0.379100057144572,2.08854963727191
"2","75",0.370519429406436,NA
"3","100",0.428803588507665,4.77695693771481
"4","20",0.318601024485979,1.42528692724715
"5","50",0.36337765019417,1.95752341699591
"6","75",0.374381923906461,NA
"7","100",0.440220312188645,4.43312880820564
"8","20",0.317085841502532,1.34783124164765
"9","50",0.348427643393227,1.82424561689043
"10","75",0.369991334618536,NA
"11","100",0.449906645566288,4.18180154484201
"12","20",0.308205426380702,1.29028682271875
"13","50",0.349216227672657,1.7127542850602
"14","75",0.370876559208687,NA
"15","100",0.441716043155324,3.89681974128196
"16","20",0.303690000066097,1.23755751131614
"17","50",0.340078146884962,1.64161886499159
"18","75",0.349024881296121,NA
"19","100",0.432269334398689,3.63980367932702
"20","20",0.318515330948792,1.18999292977706
"21","50",0.326599797287328,1.55042614219125
"22","75",0.349706498678413,NA
"23","100",0.429999322359827,3.41339346805526
"24","20",0.285509492603347,1.11994287018589
"25","50",0.276091157362797,1.4798326228856
"26","75",0.290633088242501,NA
"27","100",0.412970456183788,3.23875392585376
"28","20",0.236970463468813,1.08980409037374
"29","50",0.264878843891846,1.41108106973572
"30","75",0.307019330446538,NA
"31","100",0.390046288777578,3.00996948555869
"32","20",0.251070180200798,1.04336332139086
"33","50",0.252379242265023,1.34164916851218
"34","75",0.279459618843369,NA
"35","100",0.385529007951915,2.79350775222488
"36","20",0.199291967246377,0.99773019047557
"37","50",0.25027762417916,1.29365774525453
"38","75",0.272714099930609,NA
"39","100",0.386639443985029,2.68702355269029
"40","20",0.198138032516124,0.965862872339035
"41","50",0.233619054587708,1.23404427298977
"42","75",0.256649676638636,NA
"43","100",0.390286264226926,2.50946800970697
"44","20",0.194917526480484,0.924971111013016
"45","50",0.238355996173733,1.17019335980583
"46","75",0.25841370559796,NA
"47","100",0.368301065785979,2.38489967882261
"48","20",0.167559798496576,0.892362492526171
"49","50",0.210635420299326,1.14134795775546
"50","75",0.237192616313569,NA
"51","100",0.363082888192914,2.26188306367981
"52","20",0.164767285834977,0.848572154648496
"53","50",0.205364439110778,1.09135153295202
"54","75",0.234725098606912,NA
"55","100",0.357817460337307,2.16223947815315
"56","20",0.158079342902648,0.814013748075901
"57","50",0.198534762389323,1.04217423619938
"58","75",0.213464924061983,NA
"59","100",0.327294106867479,2.05108524960486
"60","20",0.164909900917068,0.796078123793915
"61","50",0.19804926970176,1.01304380457895
"62","75",0.208872185842195,NA
"63","100",0.335518440295585,1.95439938358049
"64","20",0.15008014335416,0.762858927575714
"65","50",0.177526193644093,0.990274805535511
"66","75",0.207754154350833,NA
"67","100",0.338775332249018,1.89034969976485
"68","20",0.147928037083719,0.73716682524985
"69","50",0.179760467296401,0.937694501839238
"70","75",0.211345979733007,NA
"71","100",0.315529197955785,1.77880537626703
"72","20",0.172561889911246,0.715026111742191
"73","50",0.160285114127978,0.912314997109866
"74","75",0.186692392577859,NA
"75","100",0.305036003025999,1.72957693653494
"76","20",0.128597805189296,0.697452436937174
"77","50",0.160866045987729,0.876319015636217
"78","75",0.173112976493862,NA
"79","100",0.291095669839593,1.61694224527355
"80","20",0.131884224202875,0.68296373344383
"81","50",0.155976297873741,0.855323063455952
"82","75",0.16526267197708,NA
"83","100",0.284092359533622,1.58711732093469
"84","20",0.129325319299265,0.647495852254616
"85","50",0.144519489651083,0.843412055226888
"86","75",0.163716914084987,NA
"87","100",0.271441615782466,1.5224129237993
"88","20",0.121226847363542,0.627980987418277
"89","50",0.162202729201273,0.805228754550196
"90","75",0.156642988831126,NA
"91","100",0.260374411387379,1.46661146463656
"92","20",0.120822058079826,0.617421590730942
"93","50",0.136924160431652,0.783911758323987
"94","75",0.148576740239386,NA
"95","100",0.256389396191121,1.42008438590493
"96","20",0.105943302885075,0.61135379732137
"97","50",0.131653742710348,0.765816017734738
"98","75",0.141875861179105,NA
"99","100",0.244111190387663,1.36323194549081
"100","20",0.0976076533713677,0.579971308084644
"101","50",0.135076854131836,0.742220957235139
"102","75",0.143279829927191,NA
"103","100",0.235315868399503,1.31008558987068
"104","20",0.117838531534853,0.570345429453804
"105","50",0.136753633358646,0.715610117432354
"106","75",0.137075602784997,NA
"107","100",0.229478615352754,1.2825492103065
"108","20",0.0640135410697962,0.556553688830565
"109","50",0.124556052305517,0.703085350019641
"110","75",0.123624979743133,NA
"111","100",0.215323505478446,1.23896712304479
"112","20",0.0956284444302117,0.54162970585795
"113","50",0.121238549904181,0.694680193830899
"114","75",0.136752963571372,NA
"115","100",0.211714869467112,1.1835890359039
"116","20",0.0751816507713268,0.530008239039878
"117","50",0.109032919696446,0.663618767613159
"118","75",0.120993085209728,NA
"119","100",0.201300389056906,1.14704196883702
"120","20",0.0950465700353203,0.523548851806465
"121","50",0.120778310908574,0.657100341911198
"122","75",0.117743867421715,NA
"123","100",0.199526787003741,1.09990726362029
"124","20",0.0835119365594269,0.501284287171312
"125","50",0.110638165720837,0.633907550450205
"126","75",0.125060403938237,NA
"127","100",0.197245464661905,1.05364637091864
"128","20",0.0942806037384347,0.485923200607141
"129","50",0.117650506491442,0.623982720862708
"130","75",0.108168971572142,NA
"131","100",0.198892798709833,1.06943632390713
"132","20",0.0732114114599993,0.480751883684182
"133","50",0.105733124255797,0.608064186578078
"134","75",0.104009066757131,NA
"135","100",0.190246446795986,1.0098325988442
"136","20",0.0927808629995281,0.485524557875396
"137","50",0.0965012561317648,0.594823965696897
"138","75",0.0956452086209743,NA
"139","100",0.189730278194784,1.0095671161378
"140","20",0.104011418353854,0.467060144128019
"141","50",0.0988516969663946,0.575976201121871
"142","75",0.102764560864348,NA
"143","100",0.180005055059602,0.963109432652073
"144","20",0.108722641392323,0.461479616569487
"145","50",0.0920461174913595,0.572193058369162
"146","75",0.0975391974098027,NA
"147","100",0.177360229054946,0.957619945353433
"148","20",0.0711941686757036,0.434532586984558
"149","50",0.101422299835215,0.554915169188125
"150","75",0.0921151291976497,NA
