ID,date,cell,rep,power,stimul,frame,time,mask,int,delta,rel
cell4_03_3_04,3_04,cell4_3_04,3,50,20,1,-19.0,cell,827.446,0.006943802175870734,827.446
cell4_03_3_04,3_04,cell4_3_04,3,50,20,1,-19.0,up,621.786,0.03145939030718202,0.024458676856316513
cell4_03_3_04,3_04,cell4_3_04,3,50,20,1,-19.0,down,1060.353,0.006240695965283892,-0.0007063243074656292
cell4_03_3_04,3_04,cell4_3_04,3,50,20,2,-18.0,cell,824.201,0.002994864555698898,824.201
cell4_03_3_04,3_04,cell4_3_04,3,50,20,2,-18.0,up,563.929,-0.06451759525537906,-0.06720876136676777
cell4_03_3_04,3_04,cell4_3_04,3,50,20,2,-18.0,down,1054.483,0.0006702558521174891,-0.002325721190519704
cell4_03_3_04,3_04,cell4_3_04,3,50,20,3,-17.0,cell,835.933,0.017271886484776188,835.933
cell4_03_3_04,3_04,cell4_3_04,3,50,20,3,-17.0,up,640.286,0.062148403441416096,0.04422888546207467
cell4_03_3_04,3_04,cell4_3_04,3,50,20,3,-17.0,down,1069.816,0.015220776849592652,-0.0020243406168590403
cell4_03_3_04,3_04,cell4_3_04,3,50,20,4,-16.0,cell,820.124,-0.001966558765546262,820.124
cell4_03_3_04,3_04,cell4_3_04,3,50,20,4,-16.0,up,603.143,0.000533159395748327,0.0026143986417561963
cell4_03_3_04,3_04,cell4_3_04,3,50,20,4,-16.0,down,1050.393,-0.0032110218417240226,-0.0012549774391356339
cell4_03_3_04,3_04,cell4_3_04,3,50,20,5,-15.0,cell,820.321,-0.0017268235694988471,820.321
cell4_03_3_04,3_04,cell4_3_04,3,50,20,5,-15.0,up,557.5,-0.07518244203591906,-0.07348125792278762
cell4_03_3_04,3_04,cell4_3_04,3,50,20,5,-15.0,down,1052.443,-0.001265638156546741,0.0004539071507303741
cell4_03_3_04,3_04,cell4_3_04,3,50,20,6,-14.0,cell,825.674,0.004787402341373146,825.674
cell4_03_3_04,3_04,cell4_3_04,3,50,20,6,-14.0,up,643.714,0.06783499463191112,0.06286354656721749
cell4_03_3_04,3_04,cell4_3_04,3,50,20,6,-14.0,down,1059.541,0.005470134232423291,0.0006714011705749855
cell4_03_3_04,3_04,cell4_3_04,3,50,20,7,-13.0,cell,816.337,-0.00657507240733081,816.337
cell4_03_3_04,3_04,cell4_3_04,3,50,20,7,-13.0,up,621.286,0.030629957519770285,0.03756485570499503
cell4_03_3_04,3_04,cell4_3_04,3,50,20,7,-13.0,down,1047.2,-0.006241075552344104,0.00032813243290958597
cell4_03_3_04,3_04,cell4_3_04,3,50,20,8,-12.0,cell,814.526,-0.008778932509066195,814.526
cell4_03_3_04,3_04,cell4_3_04,3,50,20,8,-12.0,up,617.143,0.02375727744327682,0.03293744728462946
cell4_03_3_04,3_04,cell4_3_04,3,50,20,8,-12.0,down,1045.107,-0.008227264846527658,0.0005484768200505034
cell4_03_3_04,3_04,cell4_3_04,3,50,20,9,-11.0,cell,818.686,-0.0037165040036994347,818.686
cell4_03_3_04,3_04,cell4_3_04,3,50,20,9,-11.0,up,588.0,-0.02458704200380343,-0.020841205490122527
cell4_03_3_04,3_04,cell4_3_04,3,50,20,9,-11.0,down,1051.387,-0.0022677479963259277,0.0014460763655152135
cell4_03_3_04,3_04,cell4_3_04,3,50,20,10,-10.0,cell,814.152,-0.009234064302577415,814.152
cell4_03_3_04,3_04,cell4_3_04,3,50,20,10,-10.0,up,571.429,-0.05207610344420309,-0.04313658573731189
cell4_03_3_04,3_04,cell4_3_04,3,50,20,10,-10.0,down,1047.044,-0.006389114505947793,0.002863369614200903
